번호,시도명,시군구명,관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
35,강원도,양구군,양구자연생태공원(생태식물원 DMZ야상화분재원 DMZ야생동물생태관),관광지,강원도 양구군 동면 숨골로 310번길 169,강원도 양구군 동면 원당리 180,38.191978,128.0769702285,227764,화장실  주차장,,,,,,2004-04-19,5000,50,자연생태의 모든 것을 오감으로 느끼고 체험할 수 있는 곳,033-480-2529,강원도 양구군청,2019-06-12,4320000,강원도 양구군
36,강원도,인제군,오토테마파크,관광지,강원도 인제군 기린면 상하답로 130,,38.0054610,128.2904934,1067964.6,화장실+주차장,호텔+콘도,모터스포츠 체험관  자동차경주장,,편의점+음식점,,2014-06-01,1800,900,우리나라 최초의 자동차테마파크이며  국제규격의 자동차경주와 4성급 호텔과 콘도미니엄이 설치되어 있음,033-460-2385,강원도 인제군청,2019-09-03,4330000,강원도 인제군
37,강원도,인제군,용대관광지,관광지,강원도 인제군 북면 십이선녀탕길 16,강원도 인제군 북면 용대리 1816번지,38.1856116,128.3063631,289754,화장실+주차장,펜션+야영장,다목적운동장+물놀이장,조경휴게지+산림욕장,음식점,,1996-06-01,1500,300,설악산국립공원의 내설악지역에 위치하고 있으며 십이선녀탕  만해마을  백담사  황태덕장  하천 등이 관광지 주변이 있음,033-460-2083,강원도 인제군청,2019-09-03,4330000,강원도 인제군
38,강원도,인제군,방동관광지,관광지,강원도 인제군 기린면 방동약수로 89-59,강원도 인제군 기린면 방동리 산31,37.9438713555,128.3962627616,60900,화장실+주차장,펜션+야영장,다목적운동장+물놀이장,조경휴게지+산림욕장,음식점,,2008-06-01,1000,250,기린면 방동지역에 위치하고 있음,033-460-2083,강원도 인제군청,2019-09-03,4330000,강원도 인제군
39,강원도,고성군,송지호 관망타워,관광지,강원도 고성군 죽왕면 동해대로 6021,강원도 고성군 죽왕면 오봉리 9-34,38.341615,128.512660,278.47,화장실+주차장,,,,,,2007-07-02,120,50,5층 규모의 독특한 관망타워 형태로 송지호에 떼지어 이리저리 날아드는 철새들의 군무가 한눈에 내려다보이는 곳,033-680-3361,강원도 고성군청,2018-09-12,4340000,강원도 고성군
40,강원도,고성군,화진포 생태박물관,관광지,강원도 고성군 거진읍 화진포길 256,강원도 고성군 거진읍 화포리 590-2,38.453906,128.440490,1562.72,화장실+주차장,,,,,,2011-11-24,200,20,지상 3층 규모로 층별 3개 전시관에서 화진포호와 관련한 생태계를 관찰  학습할 수 있는 곳,033-680-3361,강원도 고성군청,2018-09-12,4340000,강원도 고성군
41,강원도,고성군,화진포 해양박물관,관광지,강원도 고성군 현내면 화진포길 412,강원도 고성군 현내면 초도리 94-1,38.481345,128.435682,1849.9,화장실+주차장,,,,,,1995-02-07,800,100,세계적으로 희귀한 각종 조개류  갑각류  박제 등 1 500여 종 40 000여 점을 전시한 패류박물관과 수중생물 125종 3 000여 마리를 보여주는 어류전시관으로 구성,033-680-3361,강원도 고성군청,2018-09-12,4340000,강원도 고성군
42,강원도,고성군,화진포 역사안보전시관,관광지,강원도 고성군 거진읍 화진포길 300-1,강원도 고성군 거진읍 화포리 596,38.473454,128.441923,703.56,화장실+주차장,,,,,,1999-07-15,1000,60,화진포의 성  이승만대통령 화진포 기념관  이기붕부통령별장으로 이루어진 곳,033-682-0500,국군복지단,2018-09-12,4340000,강원도 고성군
43,강원도,양양군,오색관광지,관광지,,강원도 양양군 서면 가라피리 165,38.077641,128.510721,461000,관리사무소+주차장+하수도시설+도로+취사장+공중화장실,가족호텔+콘도미니엄+모텔+산장+방가로+팬션,수영장+클럽하우스+골프연습장,야영장+조경휴게소,,,1994-10-26,3000,1000,설악산과오색령에 아름다운 자연경관을 볼수 있음,033-670-2729,강원도 양양군청,2019-06-30,4350000,강원도 양양군
1,강원도,춘천시,삼악산(호반),관광지,강원도 춘천시 서면 경춘로 1401-25,강원도 춘천시 서면 신매리 36-1,37.8257142469,127.659368,5948219,도로+관리사무소+산책로 및 자전거도로+레고랜드 주차장+유수지+배수지+오수중계펌프장,콘도미니엄(공사중)+테마빌리지 에코빌리지+스파빌리지,레고랜드 부지(미착공),공원(미착공),판매시설,,1969-01-21,1000,202,춘천시도기념물로 지정된 삼악산은 주봉인 용화봉과 청운봉  등선봉 3개가 있어 ''''''''삼악''''''''이라 불리게 되었다. 절벽사이로 크고 작은 폭포들이 이어지고  그중에 등선폭포가 유명하다. 인근에는 금선사  신흥사  흥국사  상원사 등 많은 문화재들이 있다.,033-250-3668,강원도 춘천시청,2019-08-31,4180000,강원도 춘천시
